"","State","County","Flyway","Flock type","Species","Avian influenza subtype*","Confirmation date","Flock size"
"161","Minnesota","Kandiyohi","Mississippi","Commercial","Turkeys","EA/AM-H5N2","Apr 21, 2015","43,600"
"162","Minnesota","Wadena","Mississippi","Commercial","Turkeys","EA/AM-H5N2","Apr 20, 2015","301,000"
"163","South Dakota","Spink","Mississippi","Commercial","Turkeys","EA/AM-H5N2","Apr 20, 2015","33,300"
"164","Minnesota","Redwood","Mississippi","Commercial","Turkey","EA/AM-H5N2","Apr 20, 2015","35,500"
"165","Minnesota","Redwood","Mississippi","Commercial","Turkeys","EA/AM-H5N2","Apr 20, 2015","24,300"
"166","Minnesota","Kandiyohi","Mississippi","Commercial","Turkeys","EA/AM-H5N2","Apr 20, 2015","62,200"
"167","Minnesota","Kandiyohi","Mississippi","Commercial","Turkeys","EA/AM-H5N2","Apr 20, 2015","5,000"
"168","Minnesota","Cottonwood","Mississippi","Commercial","Turkeys","EA/AM-H5N2","Apr 20, 2015","7,500"
"169","Iowa","Osceola","Mississippi","Commercial","Layer chickens","EA/AM-H5N2","Apr 19, 2015","4,030,000"
"170","Minnesota","Kandiyohi","Mississippi","Commercial","Turkeys","EA/AM-H5N2","Apr 17, 2015","23,000"
"171","Wisconsin","Juneau","Mississippi","Backyard","Mixed Poultry","EA/AM-H5N2","Apr 17, 2015","33"
"172","Minnesota","Roseau","Mississippi","Commercial","Turkeys","EA/AM-H5N2","Apr 16, 2015","26,900"
"173","Wisconsin","Barron","Mississippi","Commercial","Turkeys","EA/AM-H5N2","Apr 16, 2015","126,700"
"174","Minnesota","Stearns","Mississippi","Commercial","Turkeys","EA/AM-H5N2","Apr 15, 2015","67,000"
"175","South Dakota","Roberts","Mississippi","Commercial","Turkeys","EA/AM-H5N2","Apr 15, 2015","66,600"
"176","Minnesota","Otter Tail","Mississippi","Commercial","Turkeys","EA/AM-H5N2","Apr 15, 2015","19,400"
"177","Minnesota","Kandiyohi","Mississippi","Commercial","Turkeys","EA/AM-H5N2","Apr 15, 2015","152,000"
"178","Minnesota","Swift","Mississippi","Commercial","Turkeys","EA/AM-H5N2","Apr 14, 2015","154,000"
"179","Minnesota","Redwood","Mississippi","Commercial","Turkeys","EA/AM-H5N2","Apr 14, 2015","84,800"
"180","Minnesota","Meeker","Mississippi","Commercial","Turkeys","EA/AM-H5N2","Apr 14, 2015","26,100"
"181","Minnesota","Meeker","Mississippi","Commercial","Turkeys","EA/AM-H5N2","Apr 14, 2015","18,400"
"182","Minnesota","Kandiyohi","Mississippi","Commercial","Turkeys","EA/AM-H5N2","Apr 14, 2015","30,700"
