"","Date","France","Alsace","Aquitaine","Auvergne","Burgundy","Brittany","Centre","Champagne.Ardenne","Franche.Comte","Ile.de.France","Languedoc.Roussillon","Lorraine","Midi.Pyrenees","Nord.Pas.de.Calais","Normandy...Lower","Normandy...Upper","Pays.de.la.Loire","Picardie","Poitou.Charentes","Provence.Alpes.Cote.dAzur.Rhône.Alpes.2003.09.28.25.........19............2003.10.05.25.........20............2003.10.12.30.........21............2003.10.19.81.........65............Date.France.Alsace.Aquitaine.Auvergne.Burgundy.Brittany.Centre.Champagne.Ardenne.Franche.Comte.Ile.de.France.Languedoc.Roussillon.Lorraine.Midi.Pyrenees.Nord.Pas.de.Calais.Normandy...Lower.Normandy...Upper.Pays.de.la.Loire.Picardie.Poitou.Charentes.Provence.Alpes.Cote.dAzur","Rhône.Alpes"
"123","2006-03-05",75,108,53,59,45,88,69,106,NA,52,70,53,32,93,80,NA,38,NA,48,63,122
"124","2006-03-12",65,62,48,48,33,82,55,72,NA,40,79,38,36,131,56,NA,28,NA,33,56,100
"125","2006-03-19",61,78,43,37,26,78,45,56,NA,42,76,27,36,139,46,NA,28,NA,32,37,51
"126","2006-03-26",34,80,35,28,19,72,35,40,NA,20,61,22,22,87,40,NA,34,NA,25,21,42
"127","2006-04-02",32,59,28,25,16,65,28,34,NA,19,44,19,17,68,30,NA,31,NA,21,14,49
"128","2006-04-09",22,56,23,20,13,46,26,27,NA,13,39,16,11,68,24,NA,23,NA,19,14,46
"129","2006-04-16",18,46,21,17,12,30,23,25,NA,11,33,14,14,57,21,NA,19,NA,17,12,28
"130","2006-04-23",16,39,18,17,12,27,22,21,NA,9,28,12,15,37,19,NA,18,NA,18,12,29
"131","2006-04-30",12,28,15,15,10,27,19,18,NA,7,27,11,10,42,15,NA,16,NA,16,9,31
"132","2006-05-07",12,26,13,14,10,25,17,16,NA,6,26,9,6,55,14,NA,14,NA,13,9,32
"133","2006-05-14",8,22,11,12,10,18,15,13,NA,5,21,7,5,57,11,NA,13,NA,11,7,23
"134","2006-05-21",9,21,10,11,9,15,14,12,NA,5,20,7,4,48,10,NA,10,NA,10,6,18
"135","2006-05-28",11,21,9,10,8,13,12,10,NA,8,19,8,5,47,9,NA,9,NA,10,7,14
"136","2006-06-04",9,20,10,10,8,11,11,10,NA,4,18,8,4,52,8,NA,9,NA,8,5,13
"137","2006-06-11",7,23,11,9,7,10,10,9,NA,5,15,7,4,45,7,NA,9,NA,8,4,9
"138","2006-06-18",6,23,12,9,6,9,10,8,NA,4,15,8,3,30,7,NA,8,NA,8,3,8
"139","2006-06-25",5,27,11,8,5,9,10,8,NA,4,15,8,3,22,6,NA,7,NA,7,3,8
"140","2006-07-02",5,19,11,8,5,10,9,8,NA,4,14,7,2,17,6,NA,6,NA,7,2,8
"141","2006-07-09",5,18,13,7,4,11,8,8,NA,4,13,6,2,17,6,NA,6,NA,6,2,6
"142","2006-07-16",6,16,13,7,4,10,7,7,NA,3,14,6,2,22,6,NA,6,NA,6,3,7
"143","2006-07-23",5,14,15,8,4,9,7,7,NA,4,14,6,2,19,5,NA,7,NA,6,2,6
"144","2006-07-30",6,11,15,7,3,10,7,8,NA,4,14,5,3,16,5,NA,7,NA,5,3,9
"145","2006-08-06",7,10,17,7,3,12,7,10,NA,3,14,6,3,16,5,NA,7,NA,5,3,20
"146","2006-08-13",9,9,18,7,3,16,7,13,NA,5,14,7,4,16,5,NA,7,NA,5,5,17
"147","2006-08-20",8,10,18,7,3,14,6,13,NA,5,13,8,3,24,5,NA,7,NA,4,4,17
"148","2006-08-27",8,12,15,8,3,12,7,13,NA,5,15,9,3,29,5,NA,7,6,4,5,23
"149","2006-09-03",9,14,14,8,4,12,7,13,NA,6,14,10,3,26,5,NA,7,7,5,4,21
"150","2006-09-10",12,19,18,8,4,17,8,16,NA,6,16,11,3,24,4,NA,7,7,7,5,20
"151","2006-09-17",16,31,23,12,5,22,9,18,NA,10,19,11,5,23,4,NA,9,7,8,6,25
"152","2006-09-24",23,44,25,12,10,24,10,19,NA,12,21,12,9,30,6,NA,13,7,9,12,36
"153","2006-10-01",31,44,31,16,13,26,15,22,NA,17,22,12,11,65,7,NA,19,8,16,24,66
"154","2006-10-08",35,63,37,15,19,21,16,28,NA,19,21,22,14,64,8,5,27,7,22,32,56
"155","2006-10-15",48,64,32,19,32,25,21,42,NA,26,23,28,13,61,11,9,34,8,19,66,91
"156","2006-10-22",40,58,35,19,30,37,23,40,NA,23,25,30,13,69,15,18,33,14,18,31,87
"157","2006-10-29",39,63,33,22,31,47,26,41,NA,22,34,34,12,68,19,21,33,18,23,29,69
"158","2006-11-05",43,59,30,24,31,50,27,43,NA,23,47,37,14,70,19,26,37,23,26,44,87
"159","2006-11-12",41,62,28,22,25,46,25,33,NA,25,46,41,18,57,18,23,28,29,23,36,79
"160","2006-11-19",56,88,31,24,23,70,24,30,NA,37,50,38,17,56,17,28,36,35,29,44,77
"161","2006-11-26",63,86,34,24,23,73,22,37,NA,44,51,43,22,72,19,34,33,37,25,42,86
"162","2006-12-03",72,96,50,23,20,68,25,43,NA,46,56,53,31,68,23,37,33,38,24,63,106
"163","2006-12-10",85,138,52,28,28,62,29,57,NA,51,53,78,39,65,26,43,53,38,45,57,133
"164","2006-12-17",120,152,83,39,38,70,45,79,NA,78,82,83,39,73,42,44,73,51,73,81,156
"165","2006-12-24",198,113,158,60,47,125,78,110,NA,142,116,82,60,89,45,57,76,70,80,190,281
"166","2006-12-31",209,145,122,70,53,189,218,125,NA,138,170,82,82,97,69,70,117,112,87,135,284
"167","2007-01-07",169,91,94,84,62,130,166,209,NA,111,131,88,61,84,79,104,102,106,116,124,306
"168","2007-01-14",155,92,97,63,57,65,127,156,NA,107,84,70,63,91,100,119,83,87,98,178,190
"169","2007-01-21",191,109,91,64,55,156,125,126,NA,118,110,76,147,99,81,101,123,81,101,194,264
"170","2007-01-28",386,267,190,102,130,206,194,152,NA,196,324,224,309,230,94,126,202,104,138,365,444
"171","2007-02-04",567,253,323,170,159,368,420,363,NA,262,424,204,455,387,165,231,302,154,254,489,623
"172","2007-02-11",481,265,289,161,190,301,216,313,NA,250,331,228,209,390,151,235,219,146,186,400,496
"173","2007-02-18",212,201,154,111,144,116,179,214,NA,121,131,119,96,240,115,162,94,115,139,259,220
"174","2007-02-25",77,120,68,66,65,53,127,133,NA,45,72,83,33,122,78,70,54,72,101,84,104
"175","2007-03-04",37,87,34,46,42,36,70,73,NA,24,37,62,22,60,57,39,31,47,58,40,61
"176","2007-03-11",23,65,23,31,30,29,53,49,NA,14,26,43,13,43,41,24,20,39,43,19,30
"177","2007-03-18",23,48,19,25,21,20,31,34,NA,18,21,30,9,34,33,15,23,28,27,18,34
"178","2007-03-25",18,41,19,22,15,22,25,27,NA,11,21,23,8,26,26,10,23,20,24,14,30
"179","2007-04-01",19,42,23,21,13,28,21,20,NA,12,22,21,7,22,23,9,18,16,24,12,39
"180","2007-04-08",16,45,19,19,11,22,16,18,NA,12,25,19,5,26,19,8,17,15,28,11,23
"181","2007-04-15",11,39,14,19,10,18,12,14,NA,7,23,17,4,23,20,8,19,14,23,10,16
"182","2007-04-22",5,31,10,16,8,15,10,12,NA,3,19,12,3,19,17,5,16,13,18,6,10
"183","2007-04-29",6,24,9,16,8,16,10,10,NA,4,16,11,3,14,15,4,13,11,16,5,8
"184","2007-05-06",6,18,8,14,8,14,7,10,NA,3,13,9,3,12,13,4,9,9,13,5,14
"185","2007-05-13",6,13,8,13,7,13,6,11,NA,3,12,9,3,12,12,3,9,8,11,4,14
"186","2007-05-20",7,12,8,12,7,12,6,10,NA,5,11,8,5,15,11,2,11,8,10,4,11
"187","2007-05-27",9,15,8,10,6,13,6,11,NA,6,11,10,4,21,9,2,14,8,10,4,12
"188","2007-06-03",9,15,8,9,6,11,8,12,NA,6,11,10,4,24,9,2,14,8,12,5,16
"189","2007-06-10",7,18,8,7,5,9,10,13,NA,5,10,9,3,25,8,1,12,7,11,5,14
"190","2007-06-17",7,18,9,7,5,9,10,15,NA,4,10,8,3,23,7,1,11,7,11,4,11
"191","2007-06-24",7,15,13,7,5,8,11,14,NA,4,10,7,2,22,7,1,11,8,12,4,10
"192","2007-07-01",6,15,14,6,5,8,10,14,NA,4,11,7,2,18,6,1,12,10,14,3,10
"193","2007-07-08",7,12,13,5,5,8,12,13,NA,5,10,7,2,18,6,1,10,9,13,4,14
"194","2007-07-15",6,12,11,5,4,8,13,13,NA,4,11,6,2,18,6,1,8,10,15,5,13
"195","2007-07-22",7,12,11,5,4,12,11,11,NA,4,13,7,2,24,6,1,7,10,16,4,12
"196","2007-07-29",5,12,11,5,3,14,12,11,NA,3,14,8,2,22,6,2,6,9,16,3,11
"197","2007-08-05",7,11,10,4,4,14,15,10,NA,5,14,9,2,21,5,2,7,9,15,2,12
"198","2007-08-12",7,11,11,4,4,10,13,10,NA,4,13,8,2,18,5,2,10,8,12,3,22
"199","2007-08-19",7,11,10,4,4,12,13,9,NA,4,14,8,3,18,6,3,10,8,12,4,18
"200","2007-08-26",6,11,11,4,4,12,12,9,NA,3,15,8,4,18,5,3,11,8,10,3,14
"201","2007-09-02",8,14,14,4,4,13,11,9,NA,4,14,8,4,16,6,3,11,7,10,4,16
"202","2007-09-09",11,17,12,4,5,10,14,10,NA,8,12,9,4,21,6,3,11,7,10,6,22
"203","2007-09-16",21,21,14,4,7,9,18,12,NA,15,17,11,4,46,6,4,15,7,11,10,25
"204","2007-09-23",45,42,23,5,9,18,25,18,NA,29,20,19,9,61,9,4,21,10,18,28,85
"205","2007-09-30",50,73,46,8,11,31,29,30,NA,30,43,33,21,66,12,6,36,18,25,46,71
"206","2007-10-07",56,66,47,10,16,33,43,43,NA,35,53,44,18,80,17,15,43,27,28,33,91
"207","2007-10-14",55,73,47,21,21,46,46,53,NA,30,62,40,22,73,22,21,38,40,36,37,96
"208","2007-10-21",68,65,51,28,25,57,66,48,NA,41,75,37,27,114,28,22,40,35,33,57,92
"209","2007-10-28",57,60,47,35,33,40,81,51,NA,38,74,35,23,72,27,20,35,38,35,53,87
"210","2007-11-04",77,95,68,34,39,48,69,48,NA,54,87,35,48,57,28,22,36,39,43,70,113
"211","2007-11-11",77,102,68,42,41,45,67,51,NA,41,93,79,34,76,27,17,39,37,60,70,137
"212","2007-11-18",76,97,58,41,36,55,60,48,NA,49,87,67,28,74,29,16,44,34,71,66,125
"213","2007-11-25",92,83,49,46,43,55,72,52,NA,59,82,91,35,71,38,17,52,41,58,66,165
"214","2007-12-02",109,98,60,56,56,55,78,53,NA,69,99,100,34,75,44,18,68,57,48,100,165
"215","2007-12-09",125,112,78,87,65,94,116,53,NA,79,102,84,37,73,44,25,54,73,60,103,160
"216","2007-12-16",181,193,91,103,66,91,132,60,NA,112,126,117,49,126,53,42,93,78,66,153,258
"217","2007-12-23",253,302,86,107,69,111,132,78,NA,168,200,115,83,145,58,97,96,106,102,226,268
"218","2007-12-30",330,283,112,99,122,166,155,132,NA,226,227,234,100,166,76,91,156,149,92,239,408
"219","2008-01-06",339,268,110,154,142,236,161,171,NA,230,204,195,77,216,66,79,140,130,84,243,405
"220","2008-01-13",457,402,179,204,151,220,122,161,NA,300,258,254,122,200,81,111,184,124,118,294,615
"221","2008-01-20",402,304,161,210,162,212,166,178,NA,243,293,192,139,244,93,124,204,139,127,323,579
"222","2008-01-27",424,270,211,244,161,298,157,182,NA,217,337,166,177,197,94,161,235,122,165,475,623
"223","2008-02-03",406,320,198,242,201,233,186,162,NA,197,419,185,188,219,98,146,198,115,146,385,669
"224","2008-02-10",298,174,168,188,146,304,145,141,NA,160,256,172,177,153,90,122,222,84,161,242,514
"225","2008-02-17",211,154,148,155,77,172,107,104,NA,128,174,110,93,127,87,96,146,81,109,168,340
